ID_ch_wc_cru;ID_iucn;species
612;1491;Aeromys thomasi
613;1493;Aethomys chrysophilus
614;1494;Aethomys hindei
615;1495;Aethomys kaiseri
616;1498;Allocricetulus eversmanni
617;1499;Alticola argentatus
618;1500;Alticola lemminus
619;1501;Alticola macrotis
620;1502;Oligoryzomys chacoensis
621;1505;Alticola semicanus
622;1507;Alticola stoliczkanus
623;1510;Anomalurus derbianus
624;1512;Antidorcas marsupialis
625;1513;Antilocapra americana
626;1514;Hylaeamys yunganus
627;1515;Alticola strelzowi
628;1516;Ametrida centurio
629;1519;Apodemus chevrieri
630;1520;Apodemus draco
631;1521;Apodemus flavicollis
632;1524;Apodemus latronum
633;1525;Arvicanthis neumanni
634;1526;Arvicola amphibius
635;1527;Atelerix frontalis
636;1529;Atherurus africanus
637;1532;Loxodontomys micropus
638;1535;Berylmys berdmorei
639;1536;Auliscomys sublimis
640;1537;Baiomys musculus
641;1538;Baiomys taylori
642;1539;Bandicota bengalensis
643;1540;Bandicota indica
644;1541;Berylmys bowersi
645;1543;Ellobius talpinus
646;1544;Ellobius tancrei
647;1545;Eolagurus luteus
648;1546;Bandicota savilei
649;1547;Bibimys labiosus
650;1549;Boselaphus tragocamelus
651;1550;Brachiones przewalskii
652;1552;Blarinomys breviceps
653;1555;Necromys lasiurus
654;1557;Callosciurus notatus
655;1559;Calomys tener
656;1562;Calomys callosus
657;1564;Calomys laucha
658;1565;Calomys lepidus
659;1566;Calomys musculinus
660;1567;Calomyscus baluchi
661;1569;Cannomys badius
662;1572;Chaetodipus hispidus
663;1573;Castor fiber
664;1575;Chaetodipus intermedius
665;1576;Chaetodipus nelsoni
666;1577;Chaetodipus penicillatus
667;1579;Abrothrix andinus
668;1580;Chelemys macronyx
669;1581;Chiromyscus chiropus
670;1583;Chiropodomys gliroides
671;1587;Chiropodomys pusillus
672;1588;Myodes rutilus
673;1589;Colomys goslingi
674;1593;Madromys blanfordi
675;1594;Cremnomys cutchicus
676;1595;Cricetomys emini
677;1596;Cricetomys gambianus
678;1598;Cricetulus barabensis
679;1599;Cricetulus longicaudatus
680;1600;Cricetulus sokolovi
681;1601;Cricetulus migratorius
682;1603;Cricetus cricetus
683;1604;Crocidura crenata
684;1612;Crocidura ludia
685;1622;Crocidura foxi
686;1631;Cryptomys hottentotus
687;1634;Euchoreutes naso
688;1635;Euneomys petersoni
689;1639;Deomys ferrugineus
690;1640;Exilisciurus exilis
691;1641;Funambulus palmarum
692;1642;Funambulus pennantii
693;1645;Dendromus mystacalis
694;1646;Dendromus nyikae
695;1648;Desmodilliscus braueri
696;1649;Desmodillus auricularis
697;1651;Dicrostonyx torquatus
698;1653;Panthera leo
699;1656;Eligmodontia puerulus
