IUCN.binomial,AllGeogRange,Body.mass.g,LitSz,AdultHeadBodyLen.mm,GestLen.d,LitPerYear,SocGrpSz,WeanAge.d,SMA.d,NeonateBodyMass.g,MaxLifepsan.m,PopDen.n.km2,brain.mass.g,IBI.d
Delomys_collinus,140775,63.45679688,3.974394056,128.107801,32.29906836,1.01395948,1.024498968,65.63018714,356.8751639,2.232169631,62.27982714,81.35380246,1.474297457,353.872436
Delomys_dorsalis,140775,67.5,3.320558239,133.7798542,33.18598165,1.049120625,1.156716935,30.47204637,222.6668332,3.795980595,44.88725897,1804.450919,1.229773653,238.9545104
Delomys_sublineatus,215899,89.99,3.043576743,157.0292855,33.3257666,1.006305886,1.029325484,73.88537236,372.7964151,3.521527936,64.05270753,65.34183282,2.160349972,359.5735288
Deltamys_kempi,97796,26.4,2.013158336,95.56326719,34.82244559,1.798078951,1,67.71932814,283.7198293,0.949457473,45.9413374,119.3795432,0.697863345,163.4198949
Deltamys_araucaria,97796,26.4,2.013158336,95.56326719,34.82244559,1.798078951,1,67.71932814,283.7198293,0.949457473,45.9413374,119.3795432,0.697863345,163.4198949
Dendrogale_melanura,40758,59.99,3.212598346,125,31.58617123,1.042595269,1.036485009,69.62409488,363.9515746,2.145734265,62.69808306,93.42445536,1.386812764,350.7177007
Dendrogale_murina,2435,49.99,2.382170483,123.5148444,30.13508447,2.965901308,1.200603881,21.19941606,75.63161715,4.791789319,36.33765453,1050.107306,1.046816433,41.15927144
Dendrohyrax_arboreus,2418284,2981.11,1.51,499.99,229.06,1,1,152.08,510.44,380,147.6,22.67,18.42,365
Dendrohyrax_dorsalis,3191286,3174.99,1.22,560.7293637,236.57,1.057153761,1,102.5226724,439.01,200,120,16.96176791,26.55174677,342.6290099
Dendrohyrax_validus,2418284,2981.11,1.51,499.99,229.06,1,1,152.08,510.44,380,147.6,22.67,21.50859486,365
Dendrolagus_bennettianus,9328,10458.82,1,589.5541931,81.57260746,0.5,1,717.95,861.2183458,111.1709629,240,27.38,42.64170271,365
Dendrolagus_dorianus,31673,8976.58,1.01,603.43,30,1.016220333,1,598.29,524.7245995,0.760616176,96,36.57724986,18.69176581,324.1467923
Dendrolagus_goodfellowi,6464,7948.78,1,543.3921489,37.94,0.985386215,1,359.99,658.5411984,4.778905733,252,35.61897618,22.4489903,340.7946997
Dendrolagus_inustus,10844,12625,1.11,716.21,129.0714898,0.801718109,3.411252824,538.46,578.24,122.9078181,240,8.21264937,49.98849143,376.4905002
Dendrolagus_lumholtzi,23958,6649.97,1,555.5557835,79.10340724,0.5,1,539.29,816.35,67.2970912,259.8982837,116.18,38.02044735,435
Dendrolagus_matschiei,8116,8293.4,1.01,537.81,33.95,0.9,1,509.1,949.16,1.286040448,286,47.46320435,26.9980149,410
Dendrolagus_mbaiso,21222,9395.06,1.023148264,674.54,172.5032431,0.874345348,15.49114345,203.1755307,1108.045054,470.2605628,294.1772017,6.156687485,91.02967233,430.2919135
Dendrolagus_notatus,31673,8976.58,1.01,603.43,30,1.016220333,1,598.29,524.7245995,0.760616176,96,36.57724986,18.69176581,324.1467923
Dendrolagus_spadix,917,8468.2,1,602.65,176.31049,0.644114864,11.51947605,368.9361242,1620.982195,425.2805095,341.1713277,15.25480235,90.73685037,528.7095956
Dendrolagus_stellarum,212036.0793,75.84860009,3.466480557,144.2081164,31.44298175,1.002233927,1.01395948,69.76877835,355.3220886,2.185067316,59.32129469,89.88589367,1.641664428,344.5087214
Dendrolagus_ursinus,2407,13249.99,1.01,623.07,173.3319403,0.925944701,12.52303529,209.1159671,956.5413294,502.529013,242.4,11.24910119,89.66273664,392.1112256
Dendromus_insignis,54106.79203,11.05,1.815431567,61.16870031,57.19268727,1.438355276,2.912436923,35.87947323,178.7096527,1.374115249,76.33091472,860.7407771,0.295013802,147.5256597
Dendromus_kivu,44300,74.94920054,2.29209005,131.5295986,34.75354381,1.730440041,1.061578723,27.55675646,180.0180756,4.733771879,43.53010931,1651.932156,1.197213949,136.96929
Dendromus_lovati,31102,12,3.113171129,71.58314724,31.44052215,1.596384033,1.161387672,38.05553363,198.862821,1.068881661,32.0092813,740.7598161,0.3099583,140.3254475
Dendromus_melanotis,9191967,9.1,3.97,70.65281961,25,1.621125518,1,40.50015635,172.5085481,1.095241996,50.4,303.7606429,0.289515253,132.3423484
Dendromus_mesomelas,11810779,10.2,3.94,77.88217092,22.8934581,3.586125818,1,19.90005669,55.14938021,1.245671615,39.6,1753.83,0.346839297,27.80228824
Dendromus_messorius,152266.2167,159.0712136,2.95,178.004185,35.75514332,1.016224591,1.071081979,76.12302482,360.5831936,5.297077214,69.52530844,78.7229089,2.748248163,361.0789086
Dendromus_mystacalis,10219251,8.17,3.45,69.47427885,25.77915384,2.866904985,1,22.40470686,75.57741474,0.924286,31.79607776,1036.35,0.246097718,37.98574117
Dendromus_nyikae,2756610,15,4.62,88.93545023,21.35859652,3.287576925,1.229709065,22.05204968,51.96937942,1.10146523,30.043319,606.3097685,0.423517123,28.69921957
Dendromus_oreas,22584,88.31188075,1.96569035,145.5760455,44.09880861,1.003063437,2.769319737,35.76394537,240.0758428,5.914149451,83.06233304,1469.486727,1.175180382,249.9110896
Deomys_ferrugineus,1376563,57.6,1.7,125.1472327,49.03297964,1.071947454,3.18641631,32.63797035,290.4403367,6.411891312,81.11745704,991.7671021,1.07779424,296.5675788
Dephomys_defua,360169,43.05,2.75,113.2365804,28.77037798,2.569605923,1.00695555,23.74947404,87.49543217,3.986096507,38.05491354,769.8861886,0.940533909,45.05905082
Desmana_moschata,1251301,427.64,3.63,203.1,46.53,2,1.096030683,39.7,194.252672,13.66293079,61.39002662,195.1583605,4,132.5247825
Desmodilliscus_braueri,37187.21492,10,2.6,65.58319715,30.16,1.567190969,1.434248151,37.43038875,224.0298314,0.9,37.18723468,990.5454567,0.27547621,144.1695233
Desmodillus_auricularis,1764297,54.81,2.62,114.6216404,27.11,1.920109066,1.514284617,32.99,136.2174915,2.84,73.2,1265.76,0.95,98.30389704
Desmodus_rotundus,17704781,33.16,1,78,209.35,1.26,100,253.01,561.5204156,6.94,234,135.3174584,1.000208333,288.95
Desmomys_harringtoni,78618,89.99,2.836629968,143.6511365,33.44030688,1.124521934,1.136100812,30.67344251,207.9608606,4.448851489,46.37832156,1935.029781,1.351455305,253.6717636
Desmomys_yaldeni,14539,88.69828836,2.15052422,142.7583199,45.48543362,1.031521996,2.793566675,35.360438,232.6221843,5.845329957,83.65206987,1587.635562,1.198657273,251.8570448
Diaemus_youngi,13462807,36.71,1.013545056,83.80856034,165.3066603,1.011048593,231.1271398,105.7188341,559.9751695,8.770869288,178.9695344,133.2524268,1.012666667,329.2475707
Dicerorhinus_sumatrensis,267540,1046156.04,1,2769.99,310.19,0.29,4.55040167,362.93,2784.26,22849.5,420,1.05,596.6149223,1277.5
Diceros_bicornis,757212,995940.54,1,2849.99,466.24,0.39,1,583.09,2199.16,34999.99,564,0.11,655,1049.37
Diclidurus_albus,898372,16.56,1,69.99,76.12852719,1,5,52.70347359,297.1228243,0.51,74.14514674,313.412349,0.385862607,236.3420513
Diclidurus_ingens,2048625,12.3,1.287899948,57.96368361,77.62808474,1.030410558,28.08763878,42.78346728,270.2440843,1.606488962,105.1034053,351.2379538,0.298207741,223.3835356
Diclidurus_isabellus,764404,12.61,0.993779039,58.06239263,108.3027406,1,827.7716119,62.72886028,459.1881185,3.114091589,186.6679056,204.6617205,0.388017935,323.0281474
Diclidurus_scutatus,2891092,13.62,0.991571193,58.5378434,106.8983198,1,886.1295438,59.80327888,454.9089965,3.089432018,170.9584522,232.8377625,0.386868099,317.4281658
Dicrostonyx_groenlandicus,335275,58.44,3.78,117.32,20.84,2,1,17.42,38.61,4.42,40,518.17,0.72,24.5
Dicrostonyx_hudsonius,446022,57,3.49,116.5927993,20,1.5,1.028551079,57.09576939,234.1472416,1.473481522,44.4705199,155.8948747,0.936951403,164.9075642
Dicrostonyx_nelsoni,4482,57.28509203,2.673379952,122.534529,33.30412756,2.104111932,1.037706531,28.48480099,150.7331575,4.333442678,41.35738841,1797.292203,1.146409951,96.43759441
Dicrostonyx_nunatakensis,54740,81.82383267,2.330868007,133.0970248,33.49502587,1.731327869,1.031089777,28.63646788,163.5445717,4.791541491,43.56922397,1884.395392,1.209622611,142.5176887
Dicrostonyx_richardsoni,345375,55,3.5,122.3884824,20.4,2.952421343,1,18.9,91,4,24,499.1724268,0.871871325,32.9865718
Dicrostonyx_torquatus,3853378,78.77,3.85,122.5046746,17.08,2,1,30.41,91,3.05,45.6,372.2087553,0.84,23
Dicrostonyx_unalascensis,4133,62.89157842,2.79,131.4717716,21,4.648442013,1.246235765,16.13892966,48.44807238,5.02,34.50975979,2735.812801,0.963240202,20
Dicrostonyx_vinogradovi,212036.0793,75.84860009,3.466480557,144.2081164,31.44298175,1.002233927,1.01395948,69.76877835,355.3220886,2.185067316,59.32129469,89.88589367,1.641664428,344.5087214
Didelphis_albiventris,6092551,1030.47,6.9,360.69,12,1.5,1,116.5,315.68,0.176366284,20.4,400,5.812582067,266.87
Didelphis_aurita,1974092,1105.88,6.11,345.644764,15,2.5,1,99.71,192.74,0.226939605,48,45.22,6.322398627,146
Didelphis_imperfecta,8112331,14.91472867,0.993140368,60.43904785,109.20946,1,601.825032,56.15439616,460.9061936,3.600597188,195.269885,192.4776841,0.399381957,325.7829797
Didelphis_marsupialis,10209838,1134.75,7.09,402.7,14,2,1,92.47,200.88,0.16,32.4,70.5,7.13584,110
Didelphis_pernigra,1035325,62.46371121,4.077663861,126.2922199,29.42986352,1.820212327,1.00695555,65.1704434,318.4346154,2.340627888,58.92363635,53.86534371,1.338530832,186.8197269
Didelphis_virginiana,6678507,2442.08,8.62,362.862688,12.69,2,1,109.62,225.55,0.15,60,18.08,6.1124,136.87
Dinaromys_bogdanovi,58023,56,2.5,125.201177,30.41,1.5,1.048492856,53.11115086,267.8469056,3.621062627,45.82132384,216.8984582,1.175728865,190.6142776
Dinomys_branickii,2134938,12500,1.97,750,252.74,1.59211121,2,15,329.6899011,769.43,112.8,3.750220851,26.95,237.0476649
Diphylla_ecaudata,7602415,28.11,0.99,78.99,89.50504546,1,30,55.33434853,343.1226903,4.8,96,325.1736663,0.783375,260.106752
Diplogale_hosei,1833,1450,2.208406869,599.13,68.57525475,1.209035416,1.366409477,87.6601548,502.4532191,74.42795221,147.2879822,2.712335643,22.2565734,284.079865
Diplomesodon_pulchellum,447664,11,4.99,68.80279135,25.55551708,1.621575823,1.034596995,34.93934334,241.4152183,0.718929051,22.34329902,967.8067125,0.260811865,132.3127523
Diplomys_labilis,204602,282.17,1.18,294.1843384,55.72,2.039100938,1,75.74569007,340.6882004,59.5,125.1867034,27.32437601,7.995376594,175.1593854
Diplothrix_legata,1106,67.61816725,2.292846727,126.8029971,33.93867588,2.001483328,1.037706531,27.76569368,155.2766085,4.927358161,36.66767907,1518.046082,1.239861532,111.2165005
Dipodomys_agilis,44579,60.21,2.6,123.6614554,33.52858743,2,1,36.9298293,210,4.563011315,74.4,687.9,1.34,365
Dipodomys_californicus,87147,84.95,2.6,115.15,31.36277017,2,1,27.92107705,158.8780346,4.5,41.15000293,1543.887104,1.248091463,90
Dipodomys_compactus,60288,49.25,1.94,167.81,42.65516961,1.963437226,1,54.85361567,233.3006752,4.5,65.94064728,179.5861014,1.564546511,157.4111707
Dipodomys_deserti,297482,107.63,3.36,138.11,30.5,2.5,1,24.17,50.88,4.08,108,160.5,1.74016,60
Dipodomys_elator,53137,105.82,2.91,119.5,29.93794294,2.292559906,1,23.84273389,102.7021683,4.888387632,33.39344756,1284.37,1.246149765,62.67990151
Dipodomys_gravipes,5777,83.96,2.657035956,129.04,30.11810465,2.264915425,1.030538569,23.79625683,115.8220353,4.575123398,31.11607905,1265.487462,1.223190179,69.25193941
Dipodomys_heermanni,82015,63.08,3.11,111.25,30.99,2,1,25.9,53.13,3.7,28.8,1160.33,1.5022,63.9339183
Dipodomys_ingens,17778,113.61,4.77,147.83,30,2,1,32.1,72,4.369083806,117.6,3868.35,1.565953418,98.52018784
Dipodomys_merriami,17575,37.91,2.39,98.54,30.77,1.75,1.16934331,20.42,67.11,3.29,24,373.61,1.205992,54
Dipodomys_microps,405750,56.26,2.37,112.47,30.99,1,1,21,147.92,4,43.39310576,1160.36,1.21624,365
Dipodomys_nelsoni,177391,87.93,1.94,127.5,42.82329819,1.882758056,1.059510952,37.90510162,197.2329801,6.394979593,47.05470478,373.61,1.255392428,156.8672199
Dipodomys_nitratoides,24002,41.59,2.14,97.45,32.89,2.583649349,1,22.37,95.24,2.96,35.866011,921.2181389,0.870737178,45.72491817
Dipodomys_ordii,3487535,50.4,2.95,113.92,29.69,2,1,33.9,86.77,4.99,117.6,297,1.44752,142.95
Dipodomys_panamintinus,56044,73.67,3.78,120.46,29.44,2.256063239,1,27.89,128.2736663,4.5,39.7685629,1160.282021,1.59544,76.13408195
Dipodomys_phillipsii,164876,41,2.59,95.86,32.8527876,2.368811827,1,25.96842569,107.079062,2.955427388,44.70797947,930.7030676,0.907117141,45.39165389
Dipodomys_simulans,119585,78.93917687,2.875175867,144.0028723,35.1051629,1.015568947,1.089126326,59.70763005,331.9362577,4.535194645,66.10551337,191.0936064,1.591989286,331.3470998
Dipodomys_spectabilis,488883,124.61,2.67,141.14,23.5,2,1,23.47,310.33,7.74,36,397.71,2.06372,42
Dipodomys_stephensi,8841,68.49,2.68,116.5,30,2,1,19.86,90,4.4,39.79374514,3379.99,1.117571106,183
Dipodomys_venustus,9780,81.52,1.73,126.49,33,1.5,1,31.5,60,4.5,43.72751999,1624.704667,1.109112001,365
Dipus_sagitta,4227290,89,3.49,146.1891901,27.5,2,1.152023346,33.80024183,123.8926405,4.181174946,64.74340109,444.0989932,1.85,112.1821488
Distoechurus_pennatus,15002,52.74,1.31,117.66,39.88676915,2,1.45584157,39.87514489,240,5.187855459,24,773.5968899,1.101214649,183
Dobsonia_anderseni,46612,233.99,2.675103314,205.1409001,30.36333262,1.895468403,1,63.80435345,254.5691647,3.892610057,60.10108979,63.30611109,3.07540054,159.6330319
Dobsonia_beauforti,8235,165.35,0.99,161.28,149.528015,1,158.7364789,121.2475556,564.6832569,31.86033172,203.5831467,71.85365607,3.218337895,310.8904502
Dobsonia_chapmani,17454,822.2278196,1.015911082,311.0716156,150.2538577,1.004835073,300,134.666383,830.6894354,76.08260503,248.6623038,48.18010561,17.59359447,361.0885474
Dobsonia_crenulata,26001,218.21,3.489573915,178.14,31.56957892,1.022215413,1,78.46518832,363.3269298,3.042757041,56.81917622,90.45966961,2.863996742,353.6590296
Dobsonia_emersa,2970,201.06,2.475967236,164.32,38.27334132,2.002936262,1.025160378,53.60575584,210.0796719,7.210016946,56.80004873,149.5200706,2.090351127,163.8572992
Dobsonia_exoleta,200608,302.03,2.179613298,202.74,71.10092523,1.015809833,1.713539581,81.32585031,396.3313499,16.0142284,133.6816657,64.88717095,4.786267274,341.1370785
Dobsonia_inermis,34974,152.6,0.99,173.98,106.4373828,2,3.74833921,86.27431147,340.3347991,18.90942954,128.4549505,116.4276523,2.704666667,194.5008718
Dobsonia_minor,10855,85.95,0.99,123.3198988,58.09770784,2,1,51.57042164,205.5508867,7.432811833,49.46224944,349.9779833,1.163544617,155.3396947
Dobsonia_moluccensis,197554,447.64,0.99,222.6823294,156.43,1,1000,166.2,714.83,73.9,147.6,89.64575925,5.3425,316.7294331
Dobsonia_pannietensis,5320,239.19,0.98,186.23,126.021156,1.945447889,8.576166341,107.9166708,414.6012467,22.43403944,152.5357585,74.67925993,3.890429249,195.2575127
Dobsonia_peronii,11606,226.51,0.98,192.2996128,158.2307582,1.388676677,300,123.5524138,558.7122933,52.4,212.6055668,57.5932381,4.809493587,231.4398572
