TaxID,Order,Family,Genus,species,AdultBodyMass_g,GenerationLength_d,Sources_AdultBodyMass,Max_longevity_d,Sources_Max_longevity,Rspan_d,AFR_d,Data_AFR,Calculated_GL_d,,Sources_GL
136569,Primates,Cercopithecidae,Macaca,Macaca_munzala,7537.053333,4572.989586,Mean_congenerics,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
12555,Primates,Cercopithecidae,Macaca,Macaca_nemestrina,7820.78,4015,PanTHERIA,13121.75,PanTHERIA;AnAge,11690.95,1095,PanTHERIA,4485.3755,,GMA
12556,Primates,Cercopithecidae,Macaca,Macaca_nigra,7359.39,4745,PanTHERIA,9490,PanTHERIA;AnAge,7493.45,1996.55,PanTHERIA,4169.6505,,GMA
12568,Primates,Cercopithecidae,Macaca,Macaca_nigrescens,9500,4745,Smith_et_al._2003,no_information,no_information,no_information,no_information,no_information,no_information,,GMA
12557,Primates,Cercopithecidae,Macaca,Macaca_ochreata,2745.5,4745,PanTHERIA,10585,AnAge,no_information,no_information,no_information,no_information,,GMA
39794,Primates,Cercopithecidae,Macaca,Macaca_pagensis,4534.66,4745,PanTHERIA,10950,PanTHERIA,no_information,no_information,no_information,no_information,,GMA
12558,Primates,Cercopithecidae,Macaca,Macaca_radiata,4999.99,4212.1,PanTHERIA,10950,PanTHERIA;AnAge,9490,1460,PanTHERIA,4212.1,,Rspan-AFB
39795,Primates,Cercopithecidae,Macaca,Macaca_siberu,7500,4745,Smith_et_al._2003,no_information,no_information,no_information,no_information,no_information,no_information,,GMA
12559,Primates,Cercopithecidae,Macaca,Macaca_silenus,5995.25,5509.018,PanTHERIA,14600,PanTHERIA;AnAge,12804.2,1795.8,PanTHERIA,5509.018,,Rspan-AFB
12560,Primates,Cercopithecidae,Macaca,Macaca_sinica,4655.99,4745,PanTHERIA,11734.75,PanTHERIA;AnAge,no_information,no_information,no_information,no_information,,GMA
12561,Primates,Cercopithecidae,Macaca,Macaca_sylvanus,11471.53,2920,PanTHERIA,9325.75,PanTHERIA;AnAge,7579.23,1746.52,PanTHERIA,3944.4967,,GMA
12562,Primates,Cercopithecidae,Macaca,Macaca_thibetana,10593.06,3285,PanTHERIA,9855,AnAge,no_information,no_information,no_information,no_information,,GMA
12563,Primates,Cercopithecidae,Macaca,Macaca_tonkeana,10035.53,4745,PanTHERIA,10366,AnAge,no_information,no_information,no_information,no_information,,GMA
12590,Chiroptera,Megadermatidae,Macroderma,Macroderma_gigas,124.37,1985.8012,PanTHERIA,8249,AnAge,no_information,no_information,no_information,no_information,,Mean_family
12592,Carnivora,Viverridae,Macrogalidia,Macrogalidia_musschenbroekii,5148.86,1825,PanTHERIA,5475,Carn_Ung,4925,550,calculated,1978.25,,GMA
12594,Chiroptera,Pteropodidae,Macroglossus,Macroglossus_minimus,16.3,1553.790873,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
12595,Chiroptera,Pteropodidae,Macroglossus,Macroglossus_sobrinus,21.8,1553.790873,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
12615,Chiroptera,Phyllostomidae,Macrophyllum,Macrophyllum_macrophyllum,8.02,2064.27635,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family
40560,Diprotodontia,Macropodidae,Macropus,Macropus_agilis,11815.75,1821.0727,PanTHERIA,5274.25,PanTHERIA;AnAge,4863.63,410.62,PanTHERIA,1821.0727,,Rspan-AFB
40561,Diprotodontia,Macropodidae,Macropus,Macropus_antilopinus,27250.1,2584.1922,PanTHERIA,6533.5,PanTHERIA;AnAge,5658.18,943.32,calculated,2584.1922,,Rspan-AFR(SM+Gest)
12620,Diprotodontia,Macropodidae,Macropus,Macropus_bernardus,17000,2531.779561,PanTHERIA,4307,AnAge,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
40562,Diprotodontia,Macropodidae,Macropus,Macropus_dorsalis,11249.96,1970.3441,PanTHERIA,5475,PanTHERIA,5033.29,510.69,calculated,1970.3441,,Rspan-AFR(SM+Gest)
41512,Diprotodontia,Macropodidae,Macropus,Macropus_eugenii,5278.48,1766.8702,PanTHERIA,5310.75,PanTHERIA;AnAge,4991.38,319.37,PanTHERIA,1766.8702,,Rspan-AFB
40563,Diprotodontia,Macropodidae,Macropus,Macropus_fuliginosus,25564.7,2718.2743,PanTHERIA,7884,PanTHERIA;AnAge,7275.67,608.33,PanTHERIA,2718.2743,,Rspan-AFB
41513,Diprotodontia,Macropodidae,Macropus,Macropus_giganteus,33409.89,3170.271,PanTHERIA,8942.5,PanTHERIA;AnAge,8129.9,812.6,PanTHERIA,3170.271,,Rspan-AFB
12626,Diprotodontia,Macropodidae,Macropus,Macropus_irma,8000,1703.78485,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
12627,Diprotodontia,Macropodidae,Macropus,Macropus_parma,4156.62,1640.6995,PanTHERIA,4726.75,PanTHERIA;AnAge,4346.55,380.2,PanTHERIA,1640.6995,,Rspan-AFB
40564,Diprotodontia,Macropodidae,Macropus,Macropus_parryi,12629.83,2071.2455,PanTHERIA,5110,PanTHERIA,4382.95,800.19,calculated,2071.2455,,Rspan-AFR(SM+Gest)
40565,Diprotodontia,Macropodidae,Macropus,Macropus_robustus,25978.92,2984.65355,PanTHERIA,8395,PanTHERIA;AnAge,7713.995,747.595,calculated,2984.65355,,Rspan-AFR(SM+Gest)
40566,Diprotodontia,Macropodidae,Macropus,Macropus_rufogriseus,16850,2166.3627,PanTHERIA,6241.5,PanTHERIA;AnAge,5739.63,501.87,PanTHERIA,2166.3627,,Rspan-AFB
40567,Diprotodontia,Macropodidae,Macropus,Macropus_rufus,38968.39,3299.6,PanTHERIA,10037.5,PanTHERIA;AnAge,9490,547.5,PanTHERIA,3299.6,,Rspan-AFB
12643,Macroscelidea,Macroscelididae,Macroscelides,Macroscelides_proboscideus,38.64,995.97395,PanTHERIA,3175.5,AnAge,3069.755,105.745,calculated,995.97395,,Rspan-AFR(SM+Gest)
12647,Rodentia,Nesomyidae,Macrotarsomys,Macrotarsomys_bastardi,28.45,604.575,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
12646,Rodentia,Nesomyidae,Macrotarsomys,Macrotarsomys_ingens,54.99,604.575,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
136510,Rodentia,Nesomyidae,Macrotarsomys,Macrotarsomys_petteri,105,1064.06475,Encyclopedia_of_Life_(eol.org),no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family
12650,Peramelemorphia,Thylacomyidae,Macrotis,Macrotis_lagotis,1229.58,1183.8648,PanTHERIA,3577,PanTHERIA;AnAge,3415.12,193.48,calculated,1183.8648,,Rspan-AFR(SM+Gest)
12652,Chiroptera,Phyllostomidae,Macrotus,Macrotus_californicus,11.83,1709.295,PanTHERIA,5000.5,PanTHERIA;AnAge,4635.5,365,PanTHERIA,1709.295,,Rspan-AFB
12653,Chiroptera,Phyllostomidae,Macrotus,Macrotus_waterhousii,16.27,1709.295,PanTHERIA,3802.083333,PanTHERIA,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
12655,Rodentia,Muridae,Macruromys,Macruromys_elegans,357.25,639.6318318,Mean_congenerics,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
12656,Rodentia,Muridae,Macruromys,Macruromys_major,357.25,639.6318318,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
