"","x"
"546","Dasyurus_maculatus"
"547","Dasyurus_spartacus"
"548","Dasyurus_viverrinus"
"549","Delanymys_brooksi"
"550","Delomys_collinus"
"551","Delomys_dorsalis"
"552","Delomys_sublineatus"
"553","Deltamys_kempi"
"554","Dendromus_insignis"
"555","Dendromus_kivu"
"556","Dendromus_melanotis"
"557","Dendromus_mesomelas"
"558","Dendromus_mystacalis"
"559","Dendromus_nyikae"
"560","Deomys_ferrugineus"
"561","Dephomys_defua"
"562","Desmana_moschata"
"563","Desmodilliscus_braueri"
"564","Desmodillus_auricularis"
"565","Dicrostonyx_groenlandicus"
"566","Dicrostonyx_hudsonius"
"567","Dicrostonyx_nelsoni"
"568","Dicrostonyx_richardsoni"
"569","Dicrostonyx_torquatus"
"570","Didelphis_albiventris"
"571","Didelphis_aurita"
"572","Didelphis_imperfecta"
"573","Didelphis_marsupialis"
"574","Didelphis_pernigra"
"575","Didelphis_virginiana"
"576","Diplomesodon_pulchellum"
"577","Diplomys_labilis"
"578","Diplothrix_legata"
"579","Dipodomys_agilis"
"580","Dipodomys_californicus"
"581","Dipodomys_compactus"
"582","Dipodomys_deserti"
"583","Dipodomys_elator"
"584","Dipodomys_gravipes"
"585","Dipodomys_merriami"
"586","Dipodomys_microps"
"587","Dipodomys_nitratoides"
"588","Dipodomys_ordii"
"589","Dipodomys_panamintinus"
"590","Dipodomys_simulans"
"591","Dipodomys_spectabilis"
"592","Dipus_sagitta"
"593","Distoechurus_pennatus"
"594","Dolichotis_salinicola"
"595","Dorcopsis_luctuosa"
"596","Dorcopsulus_macleayi"
"597","Dorcopsulus_vanheurni"
"598","Dremomys_lokriah"
"599","Dremomys_pernyi"
"600","Dremomys_pyrrhomerus"
"601","Dremomys_rufigenis"
"602","Dryomys_laniger"
"603","Dryomys_nitedula"
"604","Dymecodon_pilirostris"
"605","Echimys_chrysurus"
"606","Echimys_saturnus"
"607","Echinops_telfairi"
"608","Echinosorex_gymnura"
"609","Echiothrix_centrosa"
"610","Echymipera_kalubu"
"611","Echymipera_rufescens"
"612","Eligmodontia_morgani"
"613","Eligmodontia_puerulus"
"614","Eligmodontia_typus"
"615","Eliomys_munbyanus"
"616","Eliomys_quercinus"
"617","Eliurus_antsingy"
"618","Eliurus_carletoni"
"619","Eliurus_danieli"
"620","Eliurus_grandidieri"
